OptionName,Cluster
اختيارخ فولاد-5000-1403/09/21,0
اختيارخ فولاد-4500-1403/12/01,0
اختيارخ خگستر-4000-1403/10/05,0
اختيارخ خودرو-2600-1403/10/05,0
اختيارخ خودرو-1700-1403/11/03,0
اختيارخ خودرو-3000-1403/11/03,0
اختيارخ خودرو-2400-1403/12/01,0
اختيارخ شپنا-4500-1403/10/12,0
اختيارخ سرو-12000-1403/10/19,0
اختيارخ شتاب-7000-1403/11/17,4
اختيارخ شتاب-6500-1403/12/15,4
اختيارخ شتاب-9000-1403/12/15,4
اختيارخ خودرو-3250-1403/10/05,0
اختيارخ خودرو-1800-1403/11/03,0
اختيارخ خودرو-3500-1403/12/01,0
اختيارخ خودرو-2400-1404/01/06,0
اختيارخ جهش-7000-1403/10/12,0
اختيارخ خودران-7500-03/09/21,0
اختيارخ فملي-7000-1403/11/03,0
اختيارخ شپنا-3750-1403/10/12,0
اختيارخ شپنا-3500-1403/12/08,4
اختيارخ شپنا-4000-1403/12/08,0
اختيارخ سرو-13000-1403/10/19,0
اختيارخ شتاب-10000-1403/10/12,0
اختيارخ شتاب-12000-1403/10/12,0
اختيارخ شتاب-8000-1403/11/17,4
اختيارخ جهش-5500-1403/10/12,0
اختيارخ جهش-6500-1403/10/12,0
اختيارخ خودران-10000-03/09/21,0
اختيارخ خودران-8000-03/11/28,4
اختيارخ خودران-9000-03/11/28,4
اختيارخ فملي-5500-1403/11/03,4
اختيارخ شتاب-6000-1403/10/12,0
اختيارخ شتاب-7000-1403/10/12,0
اختيارخ شتاب-8000-1403/10/12,0
اختيارخ شتاب-13000-1403/10/12,0
اختيارخ شتاب-10000-1403/11/17,4
اختيارخ خساپا-2600-1403/10/26,0
اختيارخ خساپا-1900-1403/11/24,0
اختيارخ شستا-1050-1403/10/12,0
اختيارخ شستا-1150-1403/10/12,0
اختيارخ شستا-1250-1403/10/12,0
اختيارخ شستا-750-1403/12/08,0
اختيارخ شستا-1100-1404/01/20,0
اختيارخ ذوب-300-1403/09/28,0
اختيارخ ذوب-500-1403/11/24,0
اختيارخ خودرو-2800-1404/02/03,4
اختيارخ جهش-10000-1403/10/12,4
اختيارخ شتاب-5500-1403/10/12,0
اختيارخ شتاب-6500-1403/10/12,0
اختيارخ شتاب-9000-1403/10/12,0
اختيارخ خساپا-2000-1403/10/26,0
اختيارخ خساپا-2800-1403/10/26,0
اختيارخ خساپا-3750-1403/11/24,0
اختيارخ شستا-850-1403/10/12,0
اختيارخ شستا-650-1403/12/08,0
اختيارخ شستا-1350-1403/12/08,0
اختيارخ شستا-1450-1403/12/08,0
اختيارخ شستا-1550-1403/12/08,0
اختيارخ شپنا-3250-1403/12/08,0
اختيارخ شتاب-6000-1403/11/17,4
اختيارخ خساپا-2400-1403/10/26,0
اختيارخ خساپا-3000-1403/10/26,0
اختيارخ خساپا-2200-1403/11/24,0
اختيارخ شستا-1650-1403/12/08,0
اختيارخ شستا-1000-1404/01/20,0
اختيارخ ذوب-700-1403/11/24,0
